product_name,brand,category,ingredients,size_packaging,image_url,product_page_url
Zero Pore Pad 2.0,Medicube,Pad,,70 pcs,https://qudobeauty.com/wp-content/uploads/2025/04/cnuuCkYhPP20241120181022-600x600.jpg,https://qudobeauty.com/product/medicube-zero-pore-pad-2-0-70-pcs/
SEOUL 1988 Serum: Retinal Liposome 2% + Black Ginseng,K-SECRET,Serum,,30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/res_022cec0a2f7498cf8bc71250375c7098-600x600.avif,https://qudobeauty.com/product/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml/
Airy Fit Shea Butter Sheet Mask,Missha,Mask,,19 g,https://qudobeauty.com/wp-content/uploads/2025/04/images-71.jpeg,https://qudobeauty.com/product/missha-airy-fit-shea-butter-sheet-mask-19g/
PDRN Pink Peptide Serum,Medicube,Serum,,30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Medicube-PDRN-Pink-Peptide-Serum-30ml-1-600x600.jpg,https://qudobeauty.com/product/medicube-pdrn-pink-peptide-serum-30ml/
Madagascar Centella Gentle Cleansing Oil,SKIN1004,Cleansing Oil,,200 ml,https://qudobeauty.com/wp-content/uploads/2025/06/51aIyQjJ4NL.jpg_BO30255255255_UF900850_SR191010000C_PIRIOFOURANDHALF-mediumBottomLeft30-20_ZJPHNwYW4gZm9yZWdyb3VuZD0iIzU2NTk1OSIgZm9udD0iQW1hem9uRW1iZXIgNTAiID44wqA5NjI8L3NwYW4500900420-600x600.jpg,https://qudobeauty.com/product/skin1004-madagascar-centella-gentle-cleansing-oil-200ml/
Poremizing Quick Clay Stick Mask,SKIN1004,Mask,,27 g,https://qudobeauty.com/wp-content/uploads/2025/06/skin1004-poremizing-quick-clay-stick-mask_8809913830085_DarBeauty-600x600.webp,https://qudobeauty.com/product/skin1004-poremizing-quick-clay-stick-mask-27g/
Age-R Glutathione Glow Capsule Cream,Medicube,Cream,,50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/medicube-age-r-glutathione-glow-capsule-e-ko-skin-01-600x600.webp,https://qudobeauty.com/product/medicube-age-r-glutathione-glow-capsule-cream-50ml/
Deep Vita C Capsule Cream,Medicube,Cream,,55 g,https://qudobeauty.com/wp-content/uploads/2025/04/Frame-1618871782.jpg,https://qudobeauty.com/product/medicube-deep-vita-c-capsule-cream-55g/
SEOUL 1988 Eye Cream: Retinal Liposome 4% + Fermented Bean,K-SECRET,Cream,,30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/K-Beauty_Store_Giftcard-227-1-600x600.webp,https://qudobeauty.com/product/ksecret-seoul-1988-eye-cream-retinal-liposome-4-fermented-bean-30ml/
Real Aloe Vera Face Mask,Farmstay,Mask,,23 ml,https://qudobeauty.com/wp-content/uploads/2025/07/8809809800314.jpg,https://qudobeauty.com/product/farmstay-real-aloe-vera-face-mask-23ml/
Fino Premium Touch Shampoo,Shiseido,Shampoo,,550 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Shiseido-Fino-Premium-Touch-Shampoo.jpg,https://qudobeauty.com/product/shiseido-fino-premium-touch-shampoo-550ml/
Vegan Collagen Eye Serum,AXIS-Y,Serum,,10 ml,https://qudobeauty.com/wp-content/uploads/2025/04/res_724db353726eb02b961e903beedeecc9-copy-600x600.png,https://qudobeauty.com/product/axis-y-vegan-collagen-eye-serum-10ml/
Pure Grinding Cleansing Balm,Dr. Althea,,,50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/dr-althea-pure-grinding-cleansing-balm-50-ml-600x600.webp,https://qudobeauty.com/product/dr-althea-pure-grinding-cleansing-balm-50-ml/
Black Rice Probiotics Barrier Essence,Haruharu Wonder,Essence,,120 ml,https://qudobeauty.com/wp-content/uploads/2025/04/HaruHaru-Wonder-Black-Rice-Probiotics-Barrier-Essence-120ml-1-2-600x600.jpg,https://qudobeauty.com/product/haruharu-wonder-black-rice-probiotics-barrier-essence-120ml/
Zero Pore Blackhead Mud Mask,Medicube,Mask,,100 g,https://qudobeauty.com/wp-content/uploads/2025/04/images-70.jpeg,https://qudobeauty.com/product/medicube-zero-pore-blackhead-mud-mask-100g/
345 Relief Cream,Dr. Althea,Cream,,50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/DrAltheaReliefCream1-600x600.webp,https://qudobeauty.com/product/dr-althea-345-relief-cream-50ml/
Real Avocado Essence Mask,Farmstay,Mask,,23 ml,https://qudobeauty.com/wp-content/uploads/2025/07/8809809800291-600x630.jpg,https://qudobeauty.com/product/farmstay-real-avocado-essence-mask-23ml/
Fino Premium Touch Hair Mask,Shiseido,Mask,,230 g,https://qudobeauty.com/wp-content/uploads/2025/04/shiseido-fino-premium-touch-hair-mask-700g-refill-438042.webp,https://qudobeauty.com/product/shiseido-fino-premium-touch-hair-mask-230g/
Kojic Acid Turmeric Brightening Gel Mask –,Medicube,Mask,,28 g,https://qudobeauty.com/wp-content/uploads/2025/06/Medicube_Turmeric_b88c3563-c69e-49e3-9bf4-41a47919d064-1-600x600.webp,https://qudobeauty.com/product/medicube-kojic-acid-turmeric-brightening-gel-mask-28g/
"Acne Pimple Master Patch, 24 count",COSRX,,,,https://qudobeauty.com/wp-content/uploads/2025/04/GUEST_0a2a7cea-8056-4a33-9b22-4993e4269633-600x600.avif,https://qudobeauty.com/product/cosrx-acne-pimple-master-patch-24-count/
